,Fecha,Operador,Detalles de Ruta,Tipo de aeronave accidentada,Pasajeros,Tripulacion,Pasajeros Fallecidos,Tripulantes Fallecidos,Muertos en tierra,Total de personas a bordo
3806,1992-11-24,China Southern Airlines,Guangzhou - Guilin,Boeing B-737-3Y0,133,8,133,8,0,141
3807,1992-11-30,Military - U.S. Air Force / Military - U.S. Air Force,Na dato,Lockheed C-141B / Lockheed C141B,0,13,0,13,0,13
3808,1992-12-09,Aero Sudpacifico,Uruapan - Guadalajara,Britten-Norman BN-2B-27 Islander,8,1,8,1,0,9
3809,1992-12-13,Scibe Airlift Cargo Zaire,Kindu - Goma,Fokker F-27 Friendship 400M,31,6,31,6,0,37
3810,1992-12-14,Military - Russian Air Force,Na dato,Mil Mi 8T (helicopter),0,0,0,0,0,61
3811,1992-12-21,Martinair Holland NV,Amsterdam - Faro,McDonnell Douglas DC-10-30CF,327,13,54,2,0,340
3812,1992-12-22,Libya Arab Airlines / Military -  Libya Air Force,Benghazi - Tripoli,Boeing B-727-2L5 / MiG23UB,147,10,147,10,0,157
3813,1993-01-03,Air Taxi - South Coast Helicopters Inc.,Na dato,Bell 206B3,3,1,3,1,0,4
3814,1993-01-06,Lufthansa Cityline,Bremen - Paris,de Havilland Canada DHC-8-301,19,4,4,0,0,23
3815,1993-01-09,Bouraq Indonesia Airlines,Na dato,Hawker Siddeley HS-748-234,39,5,13,4,0,44
3816,1993-01-13,Titan Airways,Southend - Glasgow,Embraer 110P1 Bandeirante,0,2,0,2,0,2
3817,1993-01-14,Central Mountain Air Services,Bronson - Wrangell,Douglas C-47A,0,2,0,2,0,2
3818,1993-01-27,Trans Service Airlift,Na dato,Nord 262A-44,18,3,3,0,0,21
3819,1993-01-31,Pan Malaysian Air Transport,Medan - Banda Aceh - Jakarta,Shorts SC-7 Skyvan 3-100,11,5,11,5,0,16
3820,1993-02-08,Iran Air Tours  /  Military - Iranian Air Force,Tehran - Khoram,Tupolev TU-154M / Sukhoi Su-24,119,14,119,14,0,133
3821,1993-02-10,Military - Afghan Republican Air Force,Faisabad - Daraim,Mil Mi-8,0,0,0,0,0,30
3822,1993-02-20,Cargo Three Panama,Bogota-Panama,Convair CV-440,0,2,0,2,0,2
3823,1993-02-28,Formosa Airlines,Taipei-Iles Orchides,Dornier 228-201,4,2,4,2,0,6
3824,1993-03-05,Palair Macedonian,Skopje - Zürich,Fokker 100,92,5,79,4,0,97
3825,1993-03-23,Oeste Linhas Aereas,Cuiaba - Vihena - Rondonia,Embraer EMB-110 Bandeirante,4,2,4,2,0,6
3826,1993-03-31,Japan Air Lines,Na dato,Boeing B-747-466,2,3,0,0,0,5
3827,1993-04-01,Private,"Bristol, TN - Blountville, TN",Fairchild SA227-TT,3,1,3,1,0,4
3828,1993-04-02,Linea Aeropostal Venezolana,Test,McDonnell Douglas DC-9-15,8,3,8,3,0,11
3829,1993-04-06,China Eastern Airlines,Shanghai - Los Angeles,McDonnell Douglas MD-11,248,16,2,0,0,264
3830,1993-04-19,Private,"Cincinnati, OH - Pierre, SD",Mitsubishi MU-2B-60,6,2,6,2,0,8
3831,1993-04-23,MIAT - Mongolian Airlines,Ulan Bator - Bayan Olgiy,Antonov AN-26B,34,6,26,6,0,40
3832,1993-04-26,Indian Airlines,Aurangabad - Bombay,Boeing B-737-2A8,112,6,55,0,0,118
3833,1993-04-27,Military - Zambian Air Force,Lusaka - Libreville - Dakar,de Havilland  Canada  DHC-5D Buffalo,25,5,25,5,0,30
3834,1993-04-27,Military - Afghan Republican Air Force,Kabul - Mazar- Sharif,Antonov AN-32,71,5,71,5,0,76
3835,1993-05-11,Fiji Air,Na dato,Britten-Norman BN-2A-6 Islander,0,2,0,2,0,2
3836,1993-05-15,Carga del Caribe,Cancun - Cozumel,Douglas DC-6BF,0,5,0,3,0,5
3837,1993-05-19,SAM Colombia,Panama City - Medellin,Boeing B-727-46,125,7,125,7,0,132
3838,1993-06-06,Aerotaca,Bogota - El Yopal,de Havilland Canada DHC-6 Twin Otter 300,0,2,0,2,0,2
3839,1993-06-09,Southwest Air,Na dato,Britten-Norman  BN-2A-20 Trislander,10,1,9,0,0,11
3840,1993-06-16,Merpati Nasantara Airlines,Na dato,de Havilland Canada DHC-6 Twin Otter 300,0,3,0,1,0,3
3841,1993-06-17,Tajikistan Airlines,Batumi - Baku - Chimkent,Antonov AN-26,36,5,36,5,0,41
3842,1993-07-01,Merpati Nusantara Airlines,Ambo - Sorong,Fokker F-28 Fellowship 3000,39,4,37,4,0,43
3843,1993-07-06,Military - Georgian Air Force,Na dato,Mil Mi-8,0,0,0,0,0,23
3844,1993-07-12,Private,Birmingham - Talladega,"Helicopter, Hughes 369HS",1,1,1,0,0,2
3845,1993-07-23,China Northwest Airlines,Yinchuan - Beijing,British Aerospace 146-300,108,5,54,1,0,113
3846,1993-07-26,Asiana Airlines,Seoul - Mokpo,Boeing B-737-5L9,104,6,64,4,0,110
3847,1993-07-30,Hornbill Airways,Ba Kelalan - Marudi,Shorts SC-7 Skyvan 3-100,15,2,1,0,0,17
3848,1993-07-31,Everest Air,Kathmandu - Bharatpur,Dornier Do-228-101,16,3,16,3,0,19
3849,1993-08-18,American International Airways,"Norfolk, VA - Guantanamo, Cuba",McDonnell Douglas DC-8-61,0,3,0,0,0,3
3850,1993-08-26,Sakha Airlines,Uchur - Aldan,Let 410UVP-E,22,2,22,2,0,24
3851,1993-08-28,Tajikistan Airlines,Khorag - Dushanbe,Yakovlev YAK-40,81,5,77,5,0,86
3852,1993-09-14,Lufthansa,Frankfurt - Warszawa,Airbus A320-211,64,6,1,1,0,70
3853,1993-09-21,Transair Georgia Airlines,Sochi - Sukhumi,Tupolev TU-134A,22,5,22,5,0,27
3854,1993-09-22,Transair Georgia Airlines,Tbilisi - Sukhumi,Tupolev TU-154B,120,12,100,8,0,132
3855,1993-10-04,Military - Georgian Air Force,Na dato,Mil Mi-8 (helicopter),0,0,0,0,0,60
3856,1993-10-25,Hibiscus Air,Glentanner - Queenstown,GAF Nomad N-22,6,3,6,3,0,9
3857,1993-10-26,China Eastern Airlines,Shenzen - Fuzhou,McDonnell Douglas MD-82,71,9,2,0,0,80
3858,1993-10-27,Wideroe's Flyveselksap,Trondheim - Namsos,de Havilland Canada DHC-6 Twin Otter 300,17,3,4,3,0,20
3859,1993-11-10,Air Manitoba,Winnipeg - Sandy Lake,Hawker Siddeley HS-748-234 Srs. 2A,4,3,4,3,0,7
3860,1993-11-13,China Northern Airlines,Beijing - Urumqi,McDonnell Douglas MD-82,92,10,8,4,0,102
3861,1993-11-15,Magistralnye Avialinii,Dubai - Kerman,Antonov AN-124,14,3,14,3,0,17
3862,1993-11-20,Aviaimpex (Macedonia),Genèva- Skopje,Yakovlev YAK-42D,108,8,108,8,0,116
3863,1993-12-01,Express Airlines - Northwest Airlink,Minneapolis/St. Paul - Hibbing,British Aerospace Jetstream BA-3100,16,2,16,2,0,18
3864,1993-12-03,Arctic Wings & Rotors,Tuktoyaktuk - Inuvik,Britten Norman BN-2A Trislander7,6,1,6,1,0,7
3865,1993-12-09,Air Senegal / Gambia Airways,Na dato,DHC-6 Twin Otter 300 / NAMC YS-11,2,1,2,1,0,3
3866,1993-12-13,Lao Aviation,Vientiane - Phonesavahn,Yunshuji Y-12-II,16,2,16,2,0,18
3867,1993-12-15,Military - Philippine Air Force,Manila - Naga,Lockheed C-130H,23,6,23,6,0,29
3868,1993-12-26,Kuban Airlines,Krasnadar - Gyumri,Antonov AN-26,31,5,31,5,0,36
3869,1994-01-03,Baikal Air,Irkutsk - Moscow,Tupolev TU-154M,115,9,115,9,1,124
3870,1994-01-07,Atlantic Coast Airlines (United Express),"Washington D.C. - Columbus, OH",British Aerospace Jetstream 4101,3,5,2,3,0,8
3871,1994-02-24,North Western Air Transport,Volgograd - Nalchik,Antonov AN-12V,7,6,7,6,0,13
3872,1994-02-25,British World Airways,Edinburgh - Coventry,Vickers 813 Viscount,0,2,0,1,0,2
3873,1994-02-25,Expresso Aéreo,Jananjui - Tocache - Tingo Maria - Lima,Yakovlev YAK-40,26,5,26,5,0,31
3874,1994-03-02,Continental Airlines,New York City - Denver,McDonnell Douglas MD-82,110,6,0,0,0,116
3875,1994-03-08,Sahara,Training,Boeing 737-2R4C,0,4,0,4,0,4
3876,1994-03-14,Military - U.S. Air Force,Mombasa - Mogadishu,Lockheed C-130H Hercules,0,8,0,8,0,8
3877,1994-03-17,Military - Iranian Air Force,Tehran - Moscow,Lockheed Hercules C-130,19,13,19,13,0,32
3878,1994-03-18,Chalk's International Airlines,Key West Harbor - Key West,Grumman G-73T Turbo Mallard,0,2,0,2,0,2
3879,1994-03-18,Salair,Spokane - Portland,Douglas DC-3C,0,2,0,2,0,2
3880,1994-03-21,Aurukun Air Services,Weipa - Aurukun,Britten-Norman BN-2A-21 Trislander,5,1,5,1,0,6
3881,1994-03-23,Aeroflot Russian International Airways,Moscow - Hong Kong,Airbus A310-304,63,12,63,12,0,75
3882,1994-04-03,Air Taxi - El Aero Services Inc.,Na dato,Bell 206B3,4,1,4,1,0,5
3883,1994-04-04,KLM Cityhopper,Amsterdam - Cardiff,Saab 340B,21,3,2,1,0,24
3884,1994-04-06,Rwanda Government,"Tanzania - Kigali, Rwanda",Dassault Falcon 50,9,3,9,3,0,12
3885,1994-04-06,TAME,Taura - Latacunga,de Havilland Canada DHC-6 Twin Otter 300,14,3,14,3,0,17
3886,1994-04-14,Military - U.S. Army / Military U.S. Army,Na dato,Sikorsky UH-60 / Sikorsky UH-60,0,0,0,0,0,26
3887,1994-04-25,Dirgantara Air Services,Pontianak - Nanga Pinoh,Britten Norman BN-2A-21 Trislander,10,1,10,1,0,11
3888,1994-04-26,China Airlines (Taiwan),Taipei - Nagoya,Airbus A300B4-622R,256,15,249,15,0,271
3889,1994-05-07,Rico Taxi Aero,Sao Paulo - Sao Gabriel,Embraer 110 Bandeirante,14,2,6,2,0,16
3890,1994-05-23,Arall,San Jose - Villavicencio,Pilatus Britten-Norman BN-2B-27 Islander,9,2,3,1,0,11
3891,1994-05-28,Transoriente Colombia,Villavicencio - La Primavera - Puerto Carreno,Douglas DC-3 (C-53D-DO),26,3,4,3,0,29
3892,1994-06-02,Military - Royal Air Force,Aldergrove AB - Fort George,Boeing Vertol Chinook HC-2 (helicopter),25,4,25,4,0,29
3893,1994-06-06,China Northwest Airlines,Xian - Guangzhou,Tupolev TU-154M,146,14,146,14,0,160
3894,1994-06-13,Aerolineas Cuahonte,Lazaro - Cardenas - Michoacan,Swearingen SA.226TC Metro II,7,2,7,2,0,9
3895,1994-06-18,Merpati Nusantara Airlines,Balikpapan - Palu,Fokker F-27 Friendship 500F,7,5,7,5,0,12
3896,1994-06-18,TAESA,Mexico City - Washington D.C.,Learjet 25D,10,2,10,2,0,12
3897,1994-06-26,Air Ivorie,San Pedro - Abidjan,Fokker F-27 Friendship 400M,14,3,14,3,0,17
3898,1994-06-29,Military - Dostum-Galboddin Militia,Na dato,Antonov AN-32,0,0,0,0,0,70
3899,1994-06-30,Airbus Industrie,Toulouse - Toulouse,Airbus A330-321,4,3,4,3,0,7
3900,1994-07-01,Air Mauritanie,Nouakchott - Tidjikja,Fokker F-28 Fellowship 4000,89,4,76,4,0,93
3901,1994-07-02,USAir,"Columbia, SC - Charlotte, NC",McDonnell Douglas DC-9-30,52,5,37,0,0,57
3902,1994-07-14,Air Taxi - Papillion Helicopters Ltd.,"Lihue, HI - Lihue, HI",Aerospatiale AS350D,6,1,3,0,0,7
3903,1994-07-17,Air Martinique,Bridgetown - Fort de France,Britten-Norman BN-2B-26 Islander,5,1,5,1,0,6
3904,1994-07-17,Sankuru Air Service,Training,Yakovlev 40D,5,4,3,2,0,9
3905,1994-07-19,Alas Chiricanas,Colon - Panama City,Embraer 110P1 Bandeirante,18,3,18,3,0,21
3906,1994-07-26,Airfast Services,Kilo Lima - Kelawit,Sikorsky S-58ET,16,2,16,2,0,18
3907,1994-08-05,Military - Russian Air Force,Dzhida - Boda,Antonov AN-12,41,6,41,6,0,47
3908,1994-08-07,Air Taxi - Uyak Air Services Inc.,Sightseeing,de Havilland DHC-2,6,1,5,1,0,7
3909,1994-08-10,Korean Airlines,Seoul - Cheju,Airbus A300B4-622R,152,8,0,0,0,160
3910,1994-08-11,Air Taxi - Talon Air Services Inc.,"Caribou Lake, AK - Nikiski, AK",de Havilland DHC-2,2,1,2,1,0,3
3911,1994-08-12,Air Taxi - National Helicopters,"New York, NY - Atlantic City, NJ",Bell 206L-4,2,1,2,1,0,3
3912,1994-08-21,Royal Air Maroc,Agadir - Casablanca,Aerospatiale ATR-42-300,40,4,40,4,0,44
3913,1994-09-08,USAir,Chicago - Pittsburgh,Boeing B-737-3B7,127,5,127,5,0,132
3914,1994-09-13,Aerocontroctors - Charter,Lagos - Abuja,de Havilland Canada DHC-6 Twin Otter 300,3,2,2,1,0,5
3915,1994-09-17,Pacific Coastal Airlines,Fish Egg Inlet - Pruth Bay,de Havilland Canada DHC-6 Twin Otter 100,2,2,2,1,0,4
3916,1994-09-18,Oriental Airlines,Tunis - Tamanrasset,BAC One-Eleven 515FB,32,7,3,2,0,39
3917,1994-09-23,Heavylift Cargo Airlines,Hong Kong - Jakarta,Lockheed L-100-30 Hercules,6,6,3,3,0,12
3918,1994-09-26,Cheremshanka Airlines,Krasnoyarsk - Tura,Yakovlev YAK-40,24,4,24,4,0,28
3919,1994-09-28,TAM Paraguay,Bahia Negra - Asuncion,Douglas C-47D,25,2,0,1,0,27
